涓撲笟,鎬у埆,姣忓懆瀛︿範鏃堕暱锛堝皬鏃讹級,涓婅鍑哄嫟鐜?鏈熶腑鑰冭瘯鍒嗘暟,浣滀笟瀹屾垚鐜?鏈熸湯鑰冭瘯鍒嗘暟,鎬у埆_缂栫爜,涓撲笟_缂栫爜,
宸ュ晢绠＄悊,鐢?17.77,0.9,81.42,0.78,78.89,1,0
浜哄伐鏅鸿兘,鐢?11.16,0.94,100,0.95,82.74,1,1
璐㈠姟绠＄悊,鐢?13.15,0.77,82.5,0.85,77.71,1,2
浜哄伐鏅鸿兘,濂?17.62,0.82,83.98,0.88,88.71,0,1
鐢靛瓙鍟嗗姟,鐢?21.78,0.85,97.87,0.96,85.12,1,3
璐㈠姟绠＄悊,鐢?19.03,0.78,49.41,0.73,55.07,1,2
璐㈠姟绠＄悊,濂?36.41,0.75,56.43,0.93,81.43,0,2
宸ュ晢绠＄悊,濂?26.98,0.83,78.36,0.77,82.25,0,0
宸ュ晢绠＄悊,鐢?25.37,0.74,27.27,0.81,45.98,1,0
浜哄伐鏅鸿兘,鐢?15.87,0.77,75.42,0.89,75.07,1,1
鐢靛瓙鍟嗗姟,鐢?19.63,0.95,89.51,0.86,77.94,1,3
浜哄伐鏅鸿兘,濂?31.14,0.92,100,0.86,89.13,0,1
鐢靛瓙鍟嗗姟,濂?17.61,0.86,82.91,0.71,75.74,0,3
宸ュ晢绠＄悊,濂?16.84,0.81,70.23,0.96,54.27,0,0
浜哄伐鏅鸿兘,濂?15.25,0.87,78.11,0.93,59.15,0,1
鐢靛瓙鍟嗗姟,鐢?16.81,0.69,100,0.93,77.99,1,3
宸ュ晢绠＄悊,濂?16.18,0.86,81.32,0.85,65.84,0,0
澶ф暟鎹鐞?鐢?25.92,0.74,67.99,0.91,74.03,1,4,
鐢靛瓙鍟嗗姟,濂?27.28,0.64,56.87,0.81,57.14,0,3
澶ф暟鎹鐞?鐢?31.74,0.78,70.95,0.81,65.59,1,4,
宸ュ晢绠＄悊,鐢?28.38,0.66,83.27,1,91.17,1,0
璐㈠姟绠＄悊,濂?15.32,0.67,76.85,0.9,67.64,0,2
宸ュ晢绠＄悊,鐢?34.93,0.95,70.34,0.75,78.57,1,0
浜哄伐鏅鸿兘,鐢?30.36,0.76,76.18,0.79,66.55,1,1
